SN,DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
1,01-01-14,33,46,40,657,1756
2,01-02-14,35,50,43,657,1756
3,01-03-14,36,45,41,657,1757
4,01-04-14,32,41,37,658,1757
5,01-05-14,24,38,31,658,1758
6,01-06-14,22,39,31,658,1759
7,01-07-14,28,45,37,658,1759
8,01-08-14,30,41,36,659,1800
9,01-09-14,29,42,36,659,1801
10,01-10-14,30,47,39,659,1801
11,01-11-14,32,47,40,659,1802
12,01-12-14,30,47,39,659,1803
13,1/13/2014,29,42,36,659,1803
14,1/14/2014,31,47,39,659,1804
15,1/15/2014,35,51,43,659,1804
16,1/16/2014,35,55,45,700,1805
17,1/17/2014,42,57,50,700,1806
18,1/18/2014,38,54,46,700,1806
19,1/19/2014,37,51,44,700,1807
20,1/20/2014,36,53,45,659,1808
21,1/21/2014,40,55,48,659,1808
22,1/22/2014,31,44,38,659,1809
23,1/23/2014,31,46,39,659,1810
24,1/24/2014,39,54,47,659,1810
25,1/25/2014,41,62,52,659,1811
26,1/26/2014,42,58,50,659,1811
27,1/27/2014,38,51,45,659,1812
28,1/28/2014,29,39,34,658,1813
29,1/29/2014,30,36,33,658,1813
30,1/30/2014,28,39,34,658,1814
31,1/31/2014,33,42,38,658,1814
32,02-01-14,35,50,43,657,1815
33,02-02-14,37,49,43,657,1816
34,02-03-14,36,50,43,657,1816
35,02-04-14,36,55,46,656,1817
36,02-05-14,38,53,46,656,1817
37,02-06-14,39,49,44,655,1818
38,02-07-14,39,52,46,655,1818
39,02-08-14,37,52,45,655,1819
40,02-09-14,34,57,46,654,1819
41,02-10-14,36,54,45,654,1820
42,02-11-14,34,52,43,653,1820
43,02-12-14,35,52,44,653,1821
44,2/13/2014,35,49,42,652,1821
45,2/14/2014,36,48,42,652,1822
46,2/15/2014,38,55,47,651,1822
47,2/16/2014,36,46,41,651,1823
48,2/17/2014,36,43,40,650,1823
49,2/18/2014,37,45,41,649,1823
50,2/19/2014,35,46,41,649,1824
51,2/20/2014,33,47,40,648,1824
52,2/21/2014,34,48,41,647,1825
53,2/22/2014,34,48,41,647,1825
54,2/23/2014,33,48,41,646,1825
55,2/24/2014,33,50,42,646,1826
56,2/25/2014,33,47,40,645,1826
57,2/26/2014,36,50,43,644,1827
58,2/27/2014,36,55,46,643,1827
59,2/28/2014,36,57,47,643,1827
60,03-01-14,41,55,48,642,1828
61,03-02-14,31,45,38,641,1828
62,03-03-14,31,42,37,640,1828
63,03-04-14,34,43,39,640,1829
64,03-05-14,33,46,40,639,1829
65,03-06-14,35,46,41,638,1829
66,03-07-14,34,54,44,637,1830
67,03-08-14,34,43,39,637,1830
68,03-09-14,36,47,42,636,1830
69,03-10-14,32,47,40,635,1831
70,03-11-14,31,49,40,634,1831
71,03-12-14,29,50,40,633,1831
72,3/13/2014,33,55,44,632,1832
73,3/14/2014,36,51,44,632,1832
74,3/15/2014,32,48,40,631,1832
75,3/16/2014,31,49,40,630,1832
76,3/17/2014,36,53,45,629,1833
77,3/18/2014,35,53,44,628,1833
78,3/19/2014,35,53,44,627,1833
79,3/20/2014,33,48,41,626,1833
80,3/21/2014,30,48,39,626,1834
81,3/22/2014,30,43,37,625,1834
82,3/23/2014,32,45,39,624,1834
83,3/24/2014,31,51,41,623,1834
84,3/25/2014,34,53,44,622,1835
85,3/26/2014,35,55,45,621,1835
86,3/27/2014,31,46,39,620,1835
87,3/28/2014,29,43,36,620,1835
88,3/29/2014,32,39,36,619,1836
89,3/30/2014,32,41,37,618,1836
90,3/31/2014,31,42,37,617,1836
91,04-01-14,34,45,40,616,1836
92,04-02-14,33,52,43,615,1837
93,04-03-14,36,51,44,614,1837
94,04-04-14,31,50,41,614,1837
95,04-05-14,31,51,41,613,1838
96,04-06-14,35,49,42,612,1838
97,04-07-14,35,49,42,611,1838
98,04-08-14,35,52,44,610,1838
99,04-09-14,36,53,45,610,1839
100,04-10-14,35,55,45,609,1839
101,04-11-14,37,56,47,608,1839
102,04-12-14,36,52,44,607,1839
103,4/13/2014,32,49,41,606,1840
104,4/14/2014,31,50,41,606,1840
105,4/15/2014,36,53,45,605,1840
106,4/16/2014,40,59,50,604,1841
107,4/17/2014,42,58,50,603,1841
108,4/18/2014,43,60,52,602,1841
109,4/19/2014,43,60,52,602,1841
110,4/20/2014,41,57,49,601,1842
111,4/21/2014,40,54,47,600,1842
112,4/22/2014,38,58,48,600,1842
113,4/23/2014,41,58,50,559,1843
114,4/24/2014,41,59,50,558,1843
115,4/25/2014,43,59,51,558,1843
116,4/26/2014,45,62,54,557,1844
117,4/27/2014,42,53,48,556,1844
118,4/28/2014,40,53,47,556,1844
119,4/29/2014,39,53,46,555,1845
120,4/30/2014,37,50,44,554,1845
121,05-01-14,36,53,45,554,1845
122,05-02-14,38,51,45,553,1846
123,05-03-14,36,55,46,553,1846
124,05-04-14,36,55,46,552,1846
125,05-05-14,40,54,47,552,1847
126,05-06-14,40,58,49,551,1847
127,05-07-14,42,60,51,550,1847
128,05-08-14,42,61,52,550,1848
129,05-09-14,44,59,52,550,1848
130,05-10-14,42,56,49,549,1849
131,05-11-14,40,56,48,549,1849
132,05-12-14,38,55,47,548,1849
133,5/13/2014,38,56,47,548,1850
134,5/14/2014,40,55,48,547,1850
135,5/15/2014,41,58,50,547,1851
136,5/16/2014,44,60,52,547,1851
137,5/17/2014,,,,546,1851
138,5/18/2014,43,60,52,546,1852
139,5/19/2014,44,60,52,546,1852
140,5/20/2014,44,62,53,545,1853
141,5/21/2014,47,62,55,545,1853
142,5/22/2014,44,59,52,545,1853
143,5/23/2014,41,58,50,545,1854
144,5/24/2014,39,57,48,544,1854
145,5/25/2014,38,52,45,544,1855
146,5/26/2014,36,47,42,544,1855
147,5/27/2014,35,49,42,544,1855
148,5/28/2014,35,51,43,544,1856
149,5/29/2014,34,53,44,543,1856
150,5/30/2014,36,55,46,543,1856
151,5/31/2014,35,51,43,543,1857
152,06-01-14,34,53,44,543,1857
153,06-02-14,36,48,42,543,1858
154,06-03-14,38,53,46,543,1858
155,06-04-14,37,53,45,543,1858
156,06-05-14,40,55,48,543,1859
157,06-06-14,35,52,44,543,1859
158,06-07-14,36,53,45,543,1859
159,06-08-14,42,54,48,543,1900
160,06-09-14,44,57,51,543,1900
161,06-10-14,43,60,52,543,1900
162,06-11-14,42,55,49,543,1901
163,06-12-14,37,53,45,543,1901
164,6/13/2014,35,57,46,543,1901
165,6/14/2014,37,62,50,544,1902
166,6/15/2014,42,60,51,544,1902
167,6/16/2014,41,58,50,544,1902
168,6/17/2014,37,52,45,544,1902
169,6/18/2014,36,51,44,544,1903
170,6/19/2014,40,57,49,544,1903
171,6/20/2014,39,52,46,545,1903
172,6/21/2014,35,48,42,545,1903
173,6/22/2014,37,53,45,545,1904
174,6/23/2014,41,60,51,545,1904
175,6/24/2014,42,60,51,545,1904
176,6/25/2014,45,62,54,546,1904
177,6/26/2014,48,64,56,546,1904
178,6/27/2014,47,60,54,546,1904
179,6/28/2014,47,59,53,546,1905
180,6/29/2014,45,61,53,547,1905
181,6/30/2014,43,61,52,547,1905
182,07-01-14,45,62,54,547,1905
183,07-02-14,47,61,54,548,1905
184,07-03-14,48,66,57,548,1905
185,07-04-14,47,65,56,548,1905
186,07-05-14,43,61,52,549,1905
187,07-06-14,40,58,49,549,1905
188,07-07-14,40,56,48,549,1905
189,07-08-14,44,55,50,550,1905
190,07-09-14,43,59,51,550,1905
191,07-10-14,43,62,53,550,1905
192,07-11-14,43,62,53,551,1905
193,07-12-14,42,61,52,551,1905
194,7/13/2014,40,56,48,551,1904
195,7/14/2014,41,51,46,552,1904
196,7/15/2014,38,55,47,552,1904
197,7/16/2014,39,52,46,553,1904
198,7/17/2014,39,59,49,553,1904
199,7/18/2014,37,59,48,553,1904
200,7/19/2014,41,56,49,554,1903
201,7/20/2014,41,51,46,554,1903
202,7/21/2014,42,58,50,554,1903
203,7/22/2014,43,52,48,555,1902
204,7/23/2014,44,61,53,555,1902
205,7/24/2014,45,62,54,556,1902
206,7/25/2014,44,64,54,556,1901
207,7/26/2014,42,57,50,556,1901
208,7/27/2014,38,54,46,557,1901
209,7/28/2014,35,58,47,557,1900
210,7/29/2014,34,53,44,557,1900
211,7/30/2014,38,56,47,558,1859
212,7/31/2014,39,55,47,558,1859
213,08-01-14,44,62,53,558,1859
214,08-02-14,42,60,51,559,1858
215,08-03-14,43,60,52,559,1858
216,08-04-14,44,64,54,559,1857
217,08-05-14,43,61,52,600,1857
218,08-06-14,40,60,50,600,1856
219,08-07-14,41,50,46,600,1855
220,08-08-14,41,52,47,601,1855
221,08-09-14,39,57,48,601,1854
222,08-10-14,38,53,46,601,1854
223,08-11-14,39,56,48,602,1853
224,08-12-14,40,58,49,602,1852
225,8/13/2014,41,62,52,602,1852
226,8/14/2014,44,63,54,603,1851
227,8/15/2014,45,63,54,603,1850
228,8/16/2014,42,62,52,603,1850
229,8/17/2014,39,58,49,603,1849
230,8/18/2014,38,57,48,604,1848
231,8/19/2014,36,55,46,604,1848
232,8/20/2014,38,54,46,604,1847
233,8/21/2014,40,56,48,604,1846
234,8/22/2014,39,57,48,605,1845
235,8/23/2014,43,60,52,605,1845
236,8/24/2014,42,59,51,605,1844
237,8/25/2014,41,60,51,605,1843
238,8/26/2014,41,56,49,606,1842
239,8/27/2014,40,55,48,606,1841
240,8/28/2014,39,56,48,606,1841
241,8/29/2014,38,55,47,606,1840
242,8/30/2014,44,59,52,607,1839
243,8/31/2014,42,60,51,607,1838
244,09-01-14,38,55,47,607,1837
245,09-02-14,42,59,51,607,1836
246,09-03-14,42,60,51,607,1836
247,09-04-14,44,58,51,608,1835
248,09-05-14,44,61,53,608,1834
249,09-06-14,41,58,50,608,1833
250,09-07-14,39,54,47,608,1832
251,09-08-14,39,53,46,608,1831
252,09-09-14,39,54,47,609,1830
253,09-10-14,40,55,48,609,1829
254,09-11-14,42,56,49,609,1828
255,09-12-14,39,60,50,609,1828
256,9/13/2014,41,60,51,609,1827
257,9/14/2014,42,59,51,610,1826
258,9/15/2014,43,57,50,610,1825
259,9/16/2014,40,52,46,610,1824
260,9/17/2014,39,53,46,610,1823
261,9/18/2014,37,55,46,610,1822
262,9/19/2014,40,54,47,611,1821
263,9/20/2014,41,51,46,611,1820
264,9/21/2014,38,52,45,611,1819
265,9/22/2014,40,56,48,611,1819
266,9/23/2014,41,59,50,611,1818
267,9/24/2014,41,58,50,612,1817
268,9/25/2014,40,56,48,612,1816
269,9/26/2014,41,61,51,612,1815
270,9/27/2014,42,52,47,612,1814
271,9/28/2014,42,56,49,612,1813
272,9/29/2014,40,54,47,613,1812
273,9/30/2014,35,52,44,613,1811
274,10-01-14,37,53,45,613,1811
275,10-02-14,38,52,45,613,1810
276,10-03-14,36,52,44,614,1809
277,10-04-14,38,52,45,614,1808
278,10-05-14,40,52,46,614,1807
279,10-06-14,38,54,46,614,1806
280,10-07-14,42,53,48,615,1805
281,10-08-14,42,56,49,615,1805
282,10-09-14,42,60,51,615,1804
283,10-10-14,39,58,49,615,1803
284,10-11-14,39,54,47,616,1802
285,10-12-14,36,53,45,616,1801
286,10/13/2014,33,53,43,616,1801
287,10/14/2014,37,54,46,616,1800
288,10/15/2014,39,58,49,617,1759
289,10/16/2014,43,61,52,617,1758
290,10/17/2014,44,51,48,617,1758
291,10/18/2014,43,48,46,618,1757
292,10/19/2014,42,54,48,618,1756
293,10/20/2014,41,60,51,618,1755
294,10/21/2014,38,59,49,619,1755
295,10/22/2014,41,55,48,619,1754
296,10/23/2014,36,56,46,620,1753
297,10/24/2014,40,58,49,620,1753
298,10/25/2014,39,58,49,620,1752
299,10/26/2014,37,59,48,621,1752
300,10/27/2014,39,55,47,621,1751
301,10/28/2014,40,58,49,622,1750
302,10/29/2014,41,57,49,622,1750
303,10/30/2014,39,56,48,622,1749
304,10/31/2014,37,56,47,623,1749
305,11-01-14,37,51,44,623,1748
306,11-02-14,41,54,48,624,1748
307,11-03-14,40,54,47,624,1747
308,11-04-14,37,48,43,625,1747
309,11-05-14,39,56,48,625,1746
310,11-06-14,43,56,50,626,1746
311,11-07-14,38,57,48,626,1746
312,11-08-14,36,55,46,627,1745
313,11-09-14,37,59,48,627,1745
314,11-10-14,42,60,51,628,1745
315,11-11-14,42,57,50,628,1744
316,11-12-14,41,56,49,629,1744
317,11/13/2014,39,56,48,629,1744
318,11/14/2014,38,54,46,630,1743
319,11/15/2014,37,51,44,630,1743
320,11/16/2014,38,55,47,631,1743
321,11/17/2014,42,57,50,632,1743
322,11/18/2014,38,56,47,632,1743
323,11/19/2014,37,56,47,633,1743
324,11/20/2014,39,51,45,633,1742
325,11/21/2014,39,55,47,634,1742
326,11/22/2014,38,54,46,635,1742
327,11/23/2014,33,53,43,635,1742
328,11/24/2014,41,59,50,636,1742
329,11/25/2014,42,59,51,636,1742
330,11/26/2014,41,55,48,637,1742
331,11/27/2014,39,57,48,638,1742
332,11/28/2014,38,56,47,638,1742
333,11/29/2014,35,54,45,639,1742
334,11/30/2014,35,50,43,640,1742
335,12-01-14,35,52,44,640,1743
336,12-02-14,35,51,43,641,1743
337,12-03-14,38,51,45,641,1743
338,12-04-14,42,52,47,642,1743
339,12-05-14,39,50,45,643,1743
340,12-06-14,36,51,44,643,1743
341,12-07-14,36,56,46,644,1744
342,12-08-14,38,58,48,645,1744
343,12-09-14,39,56,48,645,1744
344,12-10-14,39,60,50,646,1745
345,12-11-14,42,60,51,646,1745
346,12-12-14,37,55,46,647,1745
347,12/13/2014,37,56,47,648,1746
348,12/14/2014,38,56,47,648,1746
349,12/15/2014,40,57,49,649,1746
350,12/16/2014,40,57,49,649,1747
351,12/17/2014,38,57,48,650,1747
352,12/18/2014,40,56,48,650,1748
353,12/19/2014,42,59,51,651,1748
354,12/20/2014,39,56,48,651,1749
355,12/21/2014,36,52,44,652,1749
356,12/22/2014,31,47,39,652,1750
357,12/23/2014,31,41,36,653,1750
358,12/24/2014,36,45,41,653,1751
359,12/25/2014,40,54,47,654,1751
360,12/26/2014,41,53,47,654,1752
361,12/27/2014,37,51,44,655,1752
362,12/28/2014,39,56,48,655,1753
363,12/29/2014,36,54,45,655,1753
364,12/30/2014,36,53,45,656,1754
365,12/31/2014,34,53,44,656,1755
366,01-01-15,38,51,45,657,1756
367,01-02-15,34,40,37,657,1756
368,01-03-15,29,36,33,657,1757
369,01-04-15,31,44,38,658,1757
370,01-05-15,37,51,44,658,1758
371,01-06-15,38,52,45,658,1759
372,01-07-15,38,54,46,658,1759
373,01-08-15,38,57,48,659,1800
374,01-09-15,36,55,46,659,1801
375,01-10-15,34,51,43,659,1801
376,01-11-15,38,54,46,659,1802
377,01-12-15,40,57,49,659,1803
378,1/13/2015,41,56,49,659,1803
379,1/14/2015,35,58,47,659,1804
380,1/15/2015,38,58,48,659,1804
381,1/16/2015,40,56,48,700,1805
382,1/17/2015,38,58,48,700,1806
383,1/18/2015,37,57,47,700,1806
384,1/19/2015,37,59,48,700,1807
385,1/20/2015,36,56,46,659,1808
386,1/21/2015,40,58,49,659,1808
387,1/22/2015,39,54,47,659,1809
388,1/23/2015,43,65,54,659,1810
389,1/24/2015,41,61,51,659,1810
390,1/25/2015,40,55,48,659,1811
391,1/26/2015,42,59,51,659,1811
392,1/27/2015,36,58,47,659,1812
393,1/28/2015,36,54,45,658,1813
394,1/29/2015,35,54,45,658,1813
395,1/30/2015,36,54,45,658,1814
396,1/31/2015,33,53,43,658,1814
397,02-01-15,36,53,45,657,1815
398,02-02-15,38,54,46,657,1816
399,02-03-15,41,54,48,657,1816
400,02-04-15,39,50,45,656,1817
401,02-05-15,38,50,44,656,1817
402,02-06-15,33,47,40,655,1818
403,02-07-15,32,54,43,655,1818
404,02-08-15,43,59,51,655,1819
405,02-09-15,42,55,49,654,1819
406,02-10-15,35,50,43,654,1820
407,02-11-15,34,54,44,653,1820
408,02-12-15,37,53,45,653,1821
409,2/13/2015,40,54,47,652,1821
410,2/14/2015,38,57,48,652,1822
411,2/15/2015,37,51,44,651,1822
412,2/16/2015,37,53,45,651,1823
413,2/17/2015,36,54,45,650,1823
414,2/18/2015,36,54,45,649,1823
415,2/19/2015,38,56,47,649,1824
416,2/20/2015,39,54,47,648,1824
417,2/21/2015,36,51,44,647,1825
418,2/22/2015,35,52,44,647,1825
419,2/23/2015,40,53,47,646,1825
420,2/24/2015,40,56,48,646,1826
421,2/25/2015,39,57,48,645,1826
422,2/26/2015,36,48,42,644,1827
423,2/27/2015,35,49,42,643,1827
424,2/28/2015,35,44,40,643,1827
425,03-01-15,33,44,39,642,1828
426,03-02-15,32,43,38,641,1828
427,03-03-15,33,46,40,640,1828
428,03-04-15,33,39,36,640,1829
429,03-05-15,33,48,41,639,1829
430,03-06-15,35,49,42,638,1829
431,03-07-15,38,53,46,637,1830
432,03-08-15,32,46,39,637,1830
433,03-09-15,33,37,35,636,1830
434,03-10-15,34,42,38,635,1831
435,03-11-15,31,37,34,634,1831
436,03-12-15,32,39,36,633,1831
437,3/13/2015,31,41,36,632,1832
438,3/14/2015,31,47,39,632,1832
439,3/15/2015,33,51,42,631,1832
440,3/16/2015,36,54,45,630,1832
441,3/17/2015,36,57,47,629,1833
442,3/18/2015,36,57,47,628,1833
443,3/19/2015,39,60,50,627,1833
444,3/20/2015,38,61,50,626,1833
445,3/21/2015,41,60,51,626,1834
446,3/22/2015,37,56,47,625,1834
447,3/23/2015,38,58,48,624,1834
448,3/24/2015,36,56,46,623,1834
449,3/25/2015,38,54,46,622,1835
450,3/26/2015,34,59,47,621,1835
451,3/27/2015,39,58,49,620,1835
452,3/28/2015,42,58,50,620,1835
453,3/29/2015,39,57,48,619,1836
454,3/30/2015,36,54,45,618,1836
455,3/31/2015,31,50,41,617,1836
456,04-01-15,32,49,41,616,1836
457,04-02-15,31,49,40,615,1837
458,04-03-15,35,50,43,614,1837
459,04-04-15,39,51,45,614,1837
460,04-05-15,35,53,44,613,1838
461,04-06-15,35,52,44,612,1838
462,04-07-15,33,47,40,611,1838
463,04-08-15,33,52,43,610,1838
464,04-09-15,34,51,43,610,1839
465,04-10-15,35,49,42,609,1839
466,04-11-15,35,48,42,608,1839
467,04-12-15,33,48,41,607,1839
468,4/13/2015,36,53,45,606,1840
469,4/14/2015,39,52,46,606,1840
470,4/15/2015,37,48,43,605,1840
471,4/16/2015,34,47,41,604,1841
472,4/17/2015,34,50,42,603,1841
473,4/18/2015,37,53,45,602,1841
474,4/19/2015,40,58,49,602,1841
475,4/20/2015,39,60,50,601,1842
476,4/21/2015,43,63,53,600,1842
477,4/22/2015,40,60,50,600,1842
478,4/23/2015,39,57,48,559,1843
479,4/24/2015,43,58,51,558,1843
480,4/25/2015,43,57,50,558,1843
481,4/26/2015,41,55,48,557,1844
482,4/27/2015,37,54,46,556,1844
483,4/28/2015,33,55,44,556,1844
484,4/29/2015,37,59,48,555,1845
485,4/30/2015,36,57,47,554,1845
486,05-01-15,37,53,45,554,1845
487,05-02-15,35,50,43,553,1846
488,05-03-15,33,53,43,553,1846
489,05-04-15,40,55,48,552,1846
490,05-05-15,42,59,51,552,1847
491,05-06-15,42,63,53,551,1847
492,05-07-15,41,59,50,550,1847
493,05-08-15,38,59,49,550,1848
494,05-09-15,38,54,46,550,1848
495,05-10-15,36,51,44,549,1849
496,05-11-15,37,55,46,549,1849
497,05-12-15,37,51,44,548,1849
498,5/13/2015,33,45,39,548,1850
499,5/14/2015,31,49,40,547,1850
500,5/15/2015,32,52,42,547,1851
501,5/16/2015,33,56,45,547,1851
502,5/17/2015,38,60,49,546,1851
503,5/18/2015,38,58,48,546,1852
504,5/19/2015,39,55,47,546,1852
505,5/20/2015,39,54,47,545,1853
506,5/21/2015,37,55,46,545,1853
507,5/22/2015,39,59,49,545,1853
508,5/23/2015,41,55,48,545,1854
509,5/24/2015,39,59,49,544,1854
510,5/25/2015,42,62,52,544,1855
511,5/26/2015,43,64,54,544,1855
512,5/27/2015,44,57,51,544,1855
513,5/28/2015,43,60,52,544,1856
514,5/29/2015,44,62,53,543,1856
515,5/30/2015,41,54,48,543,1856
516,5/31/2015,39,52,46,543,1857
517,06-01-15,38,54,46,543,1857
518,06-02-15,41,56,49,543,1858
519,06-03-15,41,55,48,543,1858
520,06-04-15,39,55,47,543,1858
521,06-05-15,37,53,45,543,1859
522,06-06-15,36,55,46,543,1859
523,06-07-15,40,54,47,543,1859
524,06-08-15,38,56,47,543,1900
525,06-09-15,38,53,46,543,1900
526,06-10-15,37,49,43,543,1900
527,06-11-15,34,46,40,543,1901
528,06-12-15,32,50,41,543,1901
529,6/13/2015,39,52,46,543,1901
530,6/14/2015,42,57,50,544,1902
531,6/15/2015,41,63,52,544,1902
532,6/16/2015,48,61,55,544,1902
533,6/17/2015,46,65,56,544,1902
534,6/18/2015,45,67,56,544,1903
535,6/19/2015,43,61,52,544,1903
536,6/20/2015,43,60,52,545,1903
537,6/21/2015,45,60,53,545,1903
538,6/22/2015,45,59,52,545,1904
539,6/23/2015,46,65,56,545,1904
540,6/24/2015,42,60,51,545,1904
541,6/25/2015,42,59,51,546,1904
542,6/26/2015,42,57,50,546,1904
543,6/27/2015,38,56,47,546,1904
544,6/28/2015,42,55,49,546,1905
545,6/29/2015,40,56,48,547,1905
546,6/30/2015,40,56,48,547,1905
547,07-01-15,37,54,46,547,1905
548,07-02-15,38,54,46,548,1905
549,07-03-15,38,56,47,548,1905
550,07-04-15,39,56,48,548,1905
551,07-05-15,41,59,50,549,1905
552,07-06-15,43,60,52,549,1905
553,07-07-15,39,55,47,549,1905
554,07-08-15,40,53,47,550,1905
555,07-09-15,38,55,47,550,1905
556,07-10-15,40,55,48,550,1905
557,07-11-15,46,60,53,551,1905
558,07-12-15,46,58,52,551,1905
559,7/13/2015,45,57,51,551,1904
560,7/14/2015,45,60,53,552,1904
561,7/15/2015,44,66,55,552,1904
562,7/16/2015,43,59,51,553,1904
563,7/17/2015,41,54,48,553,1904
564,7/18/2015,39,56,48,553,1904
565,7/19/2015,43,56,50,554,1903
566,7/20/2015,40,51,46,554,1903
567,7/21/2015,37,49,43,554,1903
568,7/22/2015,37,52,45,555,1902
569,7/23/2015,39,59,49,555,1902
570,7/24/2015,43,59,51,556,1902
571,7/25/2015,45,56,51,556,1901
572,7/26/2015,42,58,50,556,1901
573,7/27/2015,44,55,50,557,1901
574,7/28/2015,40,55,48,557,1900
575,7/29/2015,46,62,54,557,1900
576,7/30/2015,48,64,56,558,1859
577,7/31/2015,45,63,54,558,1859
578,08-01-15,46,66,56,558,1859
579,08-02-15,45,52,49,559,1858
580,08-03-15,44,51,48,559,1858
581,08-04-15,40,54,47,559,1857
582,08-05-15,43,56,50,600,1857
583,08-06-15,41,54,48,600,1856
584,08-07-15,41,59,50,600,1855
585,08-08-15,43,64,54,601,1855
586,08-09-15,43,63,53,601,1854
587,08-10-15,40,59,50,601,1854
588,08-11-15,39,55,47,602,1853
589,08-12-15,40,55,48,602,1852
590,8/13/2015,40,56,48,602,1852
591,8/14/2015,44,56,50,603,1851
592,8/15/2015,41,53,47,603,1850
593,8/16/2015,41,52,47,603,1850
594,8/17/2015,42,53,48,603,1849
595,8/18/2015,40,52,46,604,1848
596,8/19/2015,39,52,46,604,1848
597,8/20/2015,38,51,45,604,1847
598,8/21/2015,42,65,54,604,1846
599,8/22/2015,46,59,53,605,1845
600,8/23/2015,45,57,51,605,1845
601,8/24/2015,43,48,46,605,1844
602,8/25/2015,42,52,47,605,1843
603,8/26/2015,42,55,49,606,1842
604,8/27/2015,41,57,49,606,1841
605,8/28/2015,43,59,51,606,1841
606,8/29/2015,42,59,51,606,1840
607,8/30/2015,42,56,49,607,1839
608,8/31/2015,41,55,48,607,1838
609,09-01-15,42,60,51,607,1837
610,09-02-15,43,52,48,607,1836
611,09-03-15,42,52,47,607,1836
612,09-04-15,40,53,47,608,1835
613,09-05-15,39,54,47,608,1834
614,09-06-15,41,54,48,608,1833
615,09-07-15,42,53,48,608,1832
616,09-08-15,41,59,50,608,1831
617,09-09-15,46,60,53,609,1830
618,09-10-15,42,56,49,609,1829
619,09-11-15,42,59,51,609,1828
